,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
41,bioethics,'The study of ethical problems arising from biological research and its applications in such fields as organ transplantation genetic engineering or artificial insemination.','the moral principles that influence research in medicine and biology',23,10,the good rules that help in studying medicine and living things,11,0.74679303
42,biogas,'Gas rich in methane which is produced by the fermentation of animal dung human sewage or crop residues in an air-tight container.','gas especially methane that is produced by dead plants and that can be burned to produce heat',22,17,"A gas, like the one from squished plants, that can be lit on fire to make warmth.",17,0.83756524
43,bioluminescence,'The production of light of various colors by living organisms e.g. some bacteria and fungi glow-worms and many marine animals).','the natural production of light by living creatures such as glow-worms',20,11,Living things like glow-worms make light on their own.,9,0.8291478
44,biophysics,'The science involving the application of physical principles and methods to study and explain the structures of living organisms and the mechanics of life processes.','the science that uses the laws and methods of physics to study biology',25,13,It's like using the rules of physics to learn about living things.,12,0.78715074
45,biorhythm,'A cyclically recurring pattern of physiological states in an organism or organ such as alpha rhythm or circadian rhythm; believed by some to affect physical and mental states and behaviour.','the changing pattern of how physical processes happen in the body which some people believe affects human behaviour',30,18,"Some people think that how our body works changes, and this might affect how we act.",16,0.83037496
46,biosphere,'That part of the Earth and atmosphere capable of supporting living organisms.','the part of the earth’s surface and atmosphere in which plants and animals can live',12,15,the place on Earth where plants and animals live,9,0.84900445
47,biotechnology,'A combination of biology and technology. It is used to describe developments in the application of biological organisms for commercial and scientific purposes.','the use of living cells and bacteria in industrial and scientific processes',23,12,using tiny living things like cells and germs for making stuff and learning in big labs.,16,0.7526404
48,boating,'To travel or go in a boat as a form of recreation.','the activity of using a small boat for pleasure',12,9,using a little boat for fun,6,0.7134902
49,boiler,'An enclosed vessel in which water is heated and circulated either as hot water or as steam for heating or power.','a container in which water is heated to provide hot water and heating in a building or to produce steam in an engine',21,23,A thing that heats water to make it hot for a house or to make steam for a machine.,19,0.86810315
50,bookkeeping,'The art or science of recording business accounts and transactions.','the job or activity of keeping an accurate record of the accounts of a business',10,15,the work of making sure the money details for a store are right,13,0.79299074
51,boron,'A very hard almost colourless crystalline metalloid element that in impure form exists as a brown amorphous powder. It occurs principally in borax and is used in hardening steel.','a chemical element. Boron is a solid substance used in making steel alloys and parts for nuclear reactors.',29,18,Boron is a hard thing. We use it to make strong metal mixes and parts for big energy machines.,19,0.85341084
52,botany,'A branch of the biological sciences which embraces the study of plants and plant life.','the scientific study of plants and their structure',15,8,learning about plants and how they are built,8,0.76079315
53,bromine,'A pungent dark red volatile liquid element (symbol Br atomic number 35) of the halogen series that occurs in brine and is used in the production of chemicals.','a chemical element. Bromine is a dark red poisonous liquid and has a very strong unpleasant smell. It is mainly found in the form of salts in seawater.',28,28,"Bromine is a dark red liquid. It smells really bad and is not safe to touch. We mostly find it in the sea, mixed with salt.",26,0.84773034
54,brooding,'Incubating eggs by sitting on them.','sad and mysterious or threatening',6,5,sad and a bit scary,5,0.64474154
55,cadmium,'Chemical element with symbol Cd and atomic number 48 silvery gray transition metal.','a chemical element. Cadmium is a soft poisonous blue-white metal that is used in batteries and nuclear reactors.',13,18,"Cadmium is a soft, blue-white metal. It's used in batteries and big machines called nuclear reactors. But, it's not good for us because it's poisonous.",25,0.8882406
56,calcium,'A malleable silvery-white metallic element of the alkaline earth group with symbol Ca and atomic number 20; the fifth most abundant element in the earth crust occurring especially as forms of calcium carbonate. It is an essential constituent of bones and teeth and is used as a deoxidizer in steel.','a chemical element. Calcium is a soft silver-white metal that is found in bones teeth and chalk.',50,17,"Calcium is a soft, silver-white metal. We find it in bones, teeth, and chalk.",14,0.8779597
57,carbonate,'A salt or ester of carbonic acid.','a salt that contains carbon and oxygen together with another chemical',7,11,"a salt with carbon, oxygen, and another chemical mixed together",10,0.8497598
58,cardiology,'The branch of medicine that studies the heart.','the study and treatment of heart diseases',8,7,learning about and fixing problems with the heart,8,0.66685003
59,carnivore,'An animal that eats meat.','any animal that eats meat',5,5,"any animal that eats meat' 

(For this specific sentence, simplification does not change the structure or the words used, as it is already simple and uses common vocabulary.)",28,0.6134519
60,catalysis,'A phenomenon in which a relatively small amount of substance augments the rate of a chemical reaction without itself being consumed.','an increase in the rate of a chemical reaction that is cause by a substance called a catalyst',21,18,A catalyst is a helper that makes a chemical reaction go faster.,12,0.79950184
61,cation,'A positively charged atom or group of atoms or a radical which moves to the negative pole (cathode) during electrolysis.','an ion with a positive electrical charge',20,7,a little thing with good electricity,6,0.649879
62,cattle,'Domesticated bovine animals including cows steers and bulls raised and bred on a ranch or farm.','cows and bulls that are kept as farm animals for their milk or meat',16,14,We keep cow and bull farm animals for milk and meat.,11,0.8439401
63,cave,'1) An underground hollow with access from the ground surface or from the sea often found in limestone areas and on rocky coastlines.\2) A natural cavity chamber or recess which leads beneath the surface of the earth generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus caves worn by subterranean rivers may be different in character from and of considerably greater extent than a sea-cave eroded by marine waves.\3) A natural underground open space generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution.','a large hole in the side of a hill or cliff or under the ground',139,15,a big hole in the side of a hill or under the ground,13,0.9114412
64,cephalopod,'Exclusively marine animals constituting the most advanced class of the Mollusca including squid octopuses and Nautilus.','a type of mollusc with a combined head and body and large eyes. Cephalopods have arms and/or tentacles (= long thin parts like arms) which may have suckers (= round parts that enable them to stick to a surface) on them. Octopus and squid are cephalopods.',16,46,"A sea animal with a big head and body, and big eyes. It has arms or long, thin arms with round sticky parts. Octopus and squid are these sea animals.",30,0.8673929
65,cetacean,'Order of aquatic mammals including the whales dolphins and porpoises.','connected with the group of creatures that includes whales and dolphins',10,11,part of the team with big animals like whales and dolphin friends,12,0.7369677
66,chloride,'A compound which is derived from hydrochloric acid and contains the chlorine atom in the -1 oxidation state.','a compound of chlorine and another chemical element',18,8,a mix of chlorine and one other thing,8,0.76850057
67,chlorination,'The application of chlorine to water sewage or industrial wastes for disinfection or other biological or chemical purposes.','the act of putting chlorine in something especially water',18,9,"adding chlorine to something, mostly water",6,0.8050246
68,chlorine,'A very reactive and highly toxic green gaseous element belonging to the halogen family of substances with symbol Cl and atomic number 17.','a chemical element. Chlorine is a poisonous green gas with a strong smell. It is often used in swimming pools to keep the water clean.',23,25,Chlorine is a green gas that smells strong. It can hurt us. We use it in pools to make the water clean.,22,0.89462537
69,chlorofluorocarbon,'Gases formed of chlorine fluorine and carbon whose molecules normally do not react with other substances; they are therefore used as spray can propellants because they do not alter the material being sprayed.','a CFC; a compound containing carbon fluorine and chlorine that is harmful to the ozone layer',33,16,"A CFC is a thing with carbon, fluorine, and chlorine. It's not good for the air up high.",18,0.8398986
70,chlorophyll,'A green pigment present in algae and higher plants that absorbs light energy and thus plays a vital role in photosynthesis.','the green substance in plants that takes in light from the sun to help them grow',21,16,the green stuff in plants that helps them grow by taking sun light,13,0.8879763
71,chromatography,'A method of separating and analyzing mixtures of chemical substances by selective adsorption in a column of powder or on a strip of paper.','the process of separating a mixture by passing it through a material through which some parts of the mixture travel further than others',24,23,Some parts of a mix go farther than others when it passes through a special stuff.,16,0.8076527
72,chromium,'A hard grey metallic element that takes a high polish occurring principally in chromite: used in steel alloys and electroplating to increase hardness and corrosion-resistance.','a chemical element. Chromium is a hard grey metal that shines brightly when polished (= made smooth and shiny by being rubbed) and is often used to cover other metals in order to prevent them from rusting.',25,37,"Chromium is a strong, grey metal. When you rub it, it becomes very shiny. We use it to protect other metals from getting rusty.",24,0.8833958
73,climatology,'That branch of meteorology concerned with the mean physical state of the atmosphere together with its statistical variations in both space and time as reflected in the weather behaviour over a period of many years.','the scientific study of climate',35,5,the study of weather and how it changes,8,0.7671375
74,coagulation,'A separation or precipitation from a dispersed state of suspended particles resulting from their growth.','the process of a liquid becoming thick and partly solid',15,10,When a liquid gets thicker and starts to turn into a solid a little bit.,15,0.7866088
75,coating,'A material applied onto or impregnated into a substrate for protective decorative or functional purposes. Such materials include but are not limited to paints varnishes sealers adhesives thinners diluents and inks.','a thin layer of a substance covering a surface',31,9,a little bit of something on top of a thing,10,0.7480547
76,cockroach,'The most primitive of the living winged insects.','a large brown insect with wings that lives in houses especially where there is dirt',8,15,"a big, brown bug with wings that lives in homes, mostly in messy places.",14,0.86314344
77,compost,'A mixture of decaying organic matter used to fertilize and condition the soil.','a mixture of decayed (= destroyed by natural processes) plants food etc. that can be added to soil to help plants grow',13,22,It's like adding yummy plant food to the dirt to help plants grow big and strong.,16,0.80192065
78,compressor,'A device that produces pressure.','a machine that compresses air or other gases',5,8,a thing that squishes air or other squishy stuff,9,0.77209055
79,conductivity,'The ratio of the electric current density to the electric field in a material.','the quality of being able to conduct electricity heat etc.',14,10,the way things can let electricity or heat go through them.,11,0.73297
80,conifer,'An order of conebearing plants which includes nearly all the present day Gymnospermae. Most are tall evergreen trees with needle-like (e.g. pines) linear (e.g. firs) or scale-like (e.g. cedars) leaves. They are characteristic of temperate zones and the main forest trees of colder regions. They provide timber resins tars turpentine and pulp for paper.','any tree that produces hard dry fruit called cones. Most conifers are evergreen (= have leaves that stay on the tree all year).',54,23,"Trees that make hard, dry fruit called cones. Most of these trees have leaves all year long.",17,0.8952027
81,coppice,'A growth of small trees that are repeatedly cut down at short intervals; the new shoots are produced by the old stumps.','to cut back young trees in order to make them grow faster',22,12,to trim little trees so they grow quicker,8,0.8340045
82,corrosion,'A process in which a solid especially a metal is eaten away and changed by a chemical action.','the process of destroying something slowly especially by chemical action; the condition that results from this process',18,17,"When something breaks down really slow, like a banana peel rotting in the dirt.",14,0.66270053
83,criminality,'A violation of the law punishable by the State in criminal proceedings.','the fact of people being involved in crime; criminal acts',12,10,some people doing bad things; crimes,6,0.76242876
84,crustacean,'A subphylum of arthropod animals having jointed feet and mandibles two pairs of antennae and segmented chitin-encased bodies.','any creature with a soft body that is divided into sections and a hard outer shell. Most crustaceans live in water. Crabs lobsters and shrimps are all crustaceans.',18,28,"A creature with a squishy body in parts, and a tough outside cover. Most live in water. Crabs, lobsters, and shrimps are some examples.",24,0.90242094
85,crystallography,'The branch of science that deals with the geometric description of crystals and their internal arrangement.','the branch of science that deals with crystals',16,8,It's about the science of crystals.,6,0.7467553
86,curriculum,'The aggregate of courses of study provided in a particular school college university adult education program technical institution or some other educational program.','the subjects that are included in a course of study or taught in a school college etc.',23,17,the things you learn in school or college.,8,0.7093257
87,cytology,'A branch of the biological sciences which deals with the structure behaviour growth and reproduction of cells and the functions and chemistry of cell components.','the scientific study of the structure and function of cells from living things',25,13,It's about learning how tiny parts of living things work and what they look like.,15,0.73585206
88,dating,'An estimation of the age of an artifact biological vestige linguistic usage etc.','the activity of having a romantic relationship with somebody or meeting people who you might in future have a romantic relationship with ',13,23,"when you like someone and go on dates, or meet new people to maybe like later",16,0.7816191
89,decontamination,'The removing or neutralizing of chemical biological or radiological contamination from a person object or area.','the process of removing harmful substances from a place or thing',16,11,Cleaning up yucky stuff from a place or thing.,9,0.784803
90,deer,'The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.','an animal with long legs that eats grass leaves etc. and can run fast. Most male deer have antlers (= parts on their heads that are like branches in shape). There are many types of deer.',21,36,A deer is an animal with long legs. It eats grass and leaves. Deer can run very fast. Most daddy deer have antlers on their heads. Antlers look like tree branches. There are lots of different kinds of deer.,39,0.92289853
91,defoliation,'The drop of foliage from plants caused by herbicides such as Agent Orange diuron triazines all of which interfere with photosynthesis.','the act of destroying the leaves of trees or plants especially with chemicals',21,13,using stuff to make tree or plant leaves go away,10,0.7358662
92,deforestation,'The removal of forest and undergrowth to increase the surface of arable land or to use the timber for construction or industrial purposes.','the act of cutting down or burning the trees in an area',23,12,when people cut or burn trees in a place,9,0.76412016
93,dendrochronology,'The science of dating the age of a tree by studying annual growth rings.','the study of the rings that appear each year in tree trunks used as a way of calculating the dates of particular events',14,23,Looking at the circles in tree trunks that come every year helps us know when things happened.,17,0.79437435
94,denitrification,'The loss of nitrogen from soil by biological or chemical means.','the process of removing nitrates or nitrites from something especially from soil air or water',11,15,"Taking out nitrates or nitrites from stuff, like soil, air, or water.",12,0.86356544
95,deregulation,'The removal or relaxation of government control over the economic activities of some commercial entity industry or economic sector.','the process of making a trade business activity etc. free from rules and controls ',19,15,making trade easy without rules and controls,7,0.7701694
96,desertification,'The development of desert conditions as a result of human activity or climatic changes.','the process of becoming or making something a desert',14,9,"making a place very dry, like a desert",8,0.8099656
97,detector,'A mechanical electrical or chemical device that automatically identifies and records or registers a stimulus such as an environmental change in pressure or temperature an electrical signal or radiation from a radioactive material.','a piece of equipment for discovering the presence of something such as metal smoke explosives or changes in pressure or temperature',33,21,"A tool to find things like metal, smoke, or changes in heat.",12,0.8036332
98,dioxin,'A heterocyclic and aromatic molecule where two carbon atoms have been substituted by oxygen atoms.','a chemical (with a ring structure containing two oxygen atoms) that is formed as a result of some industrial processes. Dioxins are toxic (= poisonous) and cause harm to the environment.',15,31,Dioxins are a kind of germ from factories. They have two oxygen parts. Dioxins are bad and hurt nature.,19,0.8018884
99,disinfectant,'An agent such as heat radiation or a chemical that disinfects by destroying neutralizing or inhibiting the growth of disease-carrying microorganisms.','a substance that kills bacteria used for cleaning',21,8,a thing that helps clean and kills tiny germs,9,0.8245013
100,dispersion,'A distribution of finely divided particles in a medium.','the process by which people or things are spread over a wide area',9,13,when lots of people or things are all spread out in a big area,14,0.7683152
101,ditch,'A long narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway channel or trench for conveying water for drainage or irrigation and usually smaller than a canal. Some ditches may be natural watercourses.','a long channel dug at the side of a field or road to hold or take away water',38,18,A long ditch made at the side of a field or road to keep or move water.,17,0.8784758
102,dosage,'The amount of a substance required to produce an effect.','the amount of a medicine or drug that is taken regularly and how often it is taken',10,17,the how much of a medicine and how often you take it,12,0.8153728
103,dragonfly,'Any of the insects composing six families of the suborder Anisoptera and having four large membranous wings and compound eyes that provide keen vision.','an insect with a long thin body often brightly coloured and two pairs of large transparent wings. Dragonflies are often seen over water.',24,23,"A bug with a long, skinny body, sometimes very colorful, and big see-through wings. We often spot dragonflies near water.",20,0.8436644
104,dune,'A low mound ridge bank or hill of loose windblown granular material (generally sand sometimes volcanic ash) either bare or covered with vegetation capable of movement from place but always retaining its characteristic shape.','a small hill of sand formed by the wind near the sea or in a desert',34,16,"A little hill made of sand, shaped by the wind, close to the big water or in a dry, sandy place.",21,0.8661642
105,earthworm,'Any of numerous oligochaete worms of the suborder Lumbricina which burrow in the soil and help aerate and break up the ground.','a common long thin worm that lives in soil',22,9,"a little long, thin worm that lives in the dirt",10,0.81350344
106,earwig,'Any of various insects of the order Dermaptera which typically have an elongated body with small leathery forewings semicircular membranous hindwings and curved forceps at the tip of the abdomen.','a small brown insect with a long body and two curved pointed parts called pincers that stick out at the back end of its body',30,25,A little bug is brown and has a long body. It has two curved parts named pincers. They stick out from its back end.,24,0.8736727
107,ecology,'The study of the interrelationships between living organisms and their environment.','the relation of plants and living creatures to each other and to their environment; the study of this',11,18,how plants and animals live together and with their home; learning about this.,13,0.7961034
108,ecosystem,'A community of organisms and their physical environment interacting as an ecological unit.','all the plants and living creatures in a particular area considered in relation to their physical environment',13,17,"all the plants and animals in a place and how they live with the land, water, and air around them",20,0.7846191
109,ecotourism,'Excursions to relatively untouched lands which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants.','organized holidays that are designed so that the tourists damage the environment as little as possible especially when some of the money they pay is used to protect the local environment and animals',19,33,Special vacations where people try not to hurt nature a lot. They make sure to use some of their money to keep the area and animals safe.,27,0.8527974
110,ecotype,'Species that has special characteristics which allow it to live in a certain habitat.','the type or race of a plant or animal that has adapted to live in particular local conditions',14,18,A kind of plant or animal that can live well in a certain place because it changed to fit there.,20,0.80699843
111,effluent,'Liquid waste or sewage discharged into a river or the sea.','liquid waste especially chemicals produced by factories or sewage',11,9,yucky water from factories or poop stuff,7,0.71265936
112,elasticity,'Ability of a material to return to original dimensions after deformation.','the quality that something has of being able to stretch and return to its original size and shape (= of being elastic)',11,22,"When something can pull and then go back to how it was, we say it's stretchy or bouncy.",18,0.7603879
113,emancipation,'The state of being free from social or political restraint or from the inhibition of moral or social conventions.','the act of freeing somebody especially from legal political or social controls that limit what they can do',19,18,"when you let someone do what they want, not controlling them by laws or rules.",15,0.7735554
114,endocrinology,'The study of the endocrine glands and the hormones that they synthesize and secrete.','the branch of medicine that is the study of the endocrine system and hormones',14,14,It's about learning how the body makes special juices called hormones.,11,0.72292674
115,enforcement,'The execution carrying out or putting into effect an order regulation law or official decree.','the act of making people obey a particular law or rule',15,11,making people follow a rule,5,0.713471
116,enzyme,'Any of a group of catalytic proteins that are produced by living cells and that mediate and promote the chemical processes of life without themselves being altered or destroyed.','a substance that is produced by all living things and that helps a chemical change happen or happen more quickly without being changed itself',29,24,It's a helper made by living things. It makes changes happen fast but stays the same.,16,0.83528155
117,epidemiology,'The study of the occurrence and distribution of disease and injury specified by person place and time.','the scientific study of the spread and control of diseases',17,10,learning about how sicknesses go from one to another and how to stop them,14,0.66720784
118,equine,'An animal belonging to the family of Equidae.','connected with horses; like a horse',8,6,"It's about horses, like a horse.",6,0.7280157
119,ergonomics,'The study of human capability and psychology in relation to the working environment and the equipment operated by the worker.','the study of working conditions especially the design of equipment and furniture in order to help people work more efficiently',20,20,"Learning about how to make work stuff, like chairs and tools, better so people can do their jobs faster and easier.",21,0.7993206
120,ethnology,'The science that deals with the study of the origin distribution and relations of races or ethnic groups of mankind.','the study of the characteristics of different peoples and the differences and relationships between them',20,15,learning about what makes people from different places unique and how they are alike,14,0.72072506
121,eutrophication,'A process of pollution that occurs when a lake or stream becomes over-rich in plant nutrient and as a consequence becomes overgrown in algae and other aquatic plants.','the process of too many plants growing on the surface of a river lake etc. often because chemicals that are used to help crops grow have been carried there by rain',28,31,"When lots of plants grow on top of a river or lake, it's often because rain brings plant food from farms.",21,0.89541274
122,evaluation,'An assessment or a summary of a particular situation.','the act of forming an opinion of the amount value or quality of something after thinking about it carefully',9,19,thinking really hard to decide how much something is worth or how good it is,15,0.7373185
123,famine,'A severe shortage of food as through crop failure or over population. It may be due to poor harvests following drought floods earthquake war social conflict etc.','a lack of food during a long period of time in a region',27,13,not having enough food for a long time in a place,11,0.7825018
124,fauna,'The entire animal life of a given region habitat or geological stratum.','all the animals living in an area or in a particular period of history',12,14,all the animals that live in a place or a long time ago,13,0.81808245
125,fen,'Waterlogged spongy ground containing alkaline decaying vegetation characterized by reeds that may develop into peat. It sometimes occurs in the sinkholes of karst region.','an area of low flat wet land especially in the east of England',24,13,"A low, flat, wet area, like a big muddy field, mostly found in the east part of England.",18,0.8514253
